start_ts,end_ts,direction,move_pips,missed,no_intent_window,hour,weekday,sum_volume_m1,avg_volume_m1
2026-01-29T15:59:00Z,2026-01-29T17:29:00Z,UP,56.1,0,0,15,3,24589,273.2111
2026-01-29T20:04:00Z,2026-01-29T21:34:00Z,UP,29.0,1,0,20,3,5637,62.6333
2026-01-30T02:34:00Z,2026-01-30T04:04:00Z,UP,29.8,0,0,2,4,10307,114.5222
2026-01-30T09:55:00Z,2026-01-30T11:25:00Z,UP,41.9,1,0,9,4,10240,113.7778
2026-01-30T13:53:00Z,2026-01-30T15:23:00Z,UP,37.8,1,0,13,4,21368,237.4222
2026-01-30T18:40:00Z,2026-01-30T20:10:00Z,UP,46.3,0,0,18,4,15426,171.4
2026-02-01T23:24:00Z,2026-02-02T00:54:00Z,UP,49.4,0,0,23,6,17220,191.3333
2026-02-02T06:50:00Z,2026-02-02T08:20:00Z,UP,40.4,1,0,6,0,12871,143.0111
2026-02-02T13:40:00Z,2026-02-02T15:10:00Z,UP,26.6,0,0,13,0,16767,186.3
2026-02-02T23:01:00Z,2026-02-03T00:31:00Z,UP,21.0,1,1,23,0,3806,42.2889
2026-02-03T02:50:00Z,2026-02-03T04:20:00Z,UP,76.0,1,0,2,1,14631,162.5667
2026-02-03T06:14:00Z,2026-02-03T07:44:00Z,UP,36.6,1,1,6,1,9393,104.3667
2026-02-03T15:01:00Z,2026-02-03T16:31:00Z,UP,41.5,1,0,15,1,15225,169.1667
2026-02-03T19:08:00Z,2026-02-03T20:38:00Z,UP,27.0,1,0,19,1,10441,116.0111
2026-02-04T11:17:00Z,2026-02-04T12:47:00Z,UP,23.2,1,0,11,2,5112,56.8
2026-02-04T19:04:00Z,2026-02-04T20:34:00Z,UP,24.8,1,0,19,2,8307,92.3
2026-02-05T02:16:00Z,2026-02-05T03:46:00Z,UP,24.9,1,1,2,3,14489,160.9889
2026-02-05T15:47:00Z,2026-02-05T17:17:00Z,UP,35.5,0,0,15,3,16412,182.3556
2026-02-06T01:18:00Z,2026-02-06T02:48:00Z,UP,35.2,0,0,1,4,11345,126.0556
2026-02-06T04:42:00Z,2026-02-06T06:12:00Z,UP,24.4,1,0,4,4,7033,78.1444
2026-02-06T10:27:00Z,2026-02-06T11:57:00Z,UP,20.3,1,0,10,4,4850,53.8889
2026-02-06T13:18:00Z,2026-02-06T14:48:00Z,UP,27.7,1,1,13,4,10543,117.1444
2026-02-08T22:41:00Z,2026-02-09T00:11:00Z,UP,21.2,0,0,22,6,5481,60.9
2026-02-09T13:45:00Z,2026-02-09T15:15:00Z,UP,33.1,1,0,13,0,12914,143.4889
2026-02-10T13:10:00Z,2026-02-10T14:40:00Z,UP,23.9,0,0,13,1,9080,100.8889
2026-02-11T01:39:00Z,2026-02-11T03:09:00Z,UP,40.9,1,1,1,2,5751,63.9
