entry_ts,exit_ts,side,leg,reason,base_units_opened,dynamic_units_opened,scale,base_pnl_usd,compounded_pnl_usd,balance_before,balance_after,liquidated
2026-02-11T11:30:00.000000000Z,2026-02-11T13:30:00.000000000Z,SHORT,RUNNER,RUNNER_STOP,21000.0000,38279.7314,1.82284435,28.066500,51.160861,901.847852,953.008713,0
2026-02-11T13:45:00.000000000Z,2026-02-11T14:18:00.000000000Z,LONG,TP1,TP1,21000.0000,41987.1877,1.99938989,18.238500,36.465873,953.008713,989.474585,0
2026-02-11T13:45:00.000000000Z,2026-02-11T14:18:00.000000000Z,LONG,RUNNER,RUNNER_STOP,21000.0000,41987.1877,1.99938989,28.066500,56.115876,989.474585,1045.590461,0
2026-02-11T18:45:00.000000000Z,2026-02-11T21:45:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,45955.0267,2.18833460,10.080000,22.058413,1045.590461,1067.648874,0
2026-02-11T21:45:00.000000000Z,2026-02-12T02:15:00.000000000Z,LONG,EXIT,FLIP,21000.0000,46956.1204,2.23600573,10.080000,22.538938,1067.648874,1090.187812,0
2026-02-12T02:15:00.000000000Z,2026-02-12T04:50:00.000000000Z,SHORT,TP1,TP1,21000.0000,47915.1368,2.28167318,18.238500,41.614296,1090.187812,1131.802108,0
2026-02-12T02:15:00.000000000Z,2026-02-12T04:50:00.000000000Z,SHORT,RUNNER,RUNNER_STOP,21000.0000,47915.1368,2.28167318,28.066500,64.038580,1131.802108,1195.840689,0
2026-02-12T05:30:00.000000000Z,2026-02-12T12:15:00.000000000Z,LONG,EXIT,FLIP,21000.0000,52639.8933,2.50666158,10.500000,26.319947,1195.840689,1222.160635,0
2026-02-12T12:15:00.000000000Z,2026-02-12T16:13:00.000000000Z,SHORT,TP1,TP1,21000.0000,53760.7318,2.56003485,18.238500,46.691196,1222.160635,1268.851831,0
2026-02-12T12:15:00.000000000Z,2026-02-12T16:13:00.000000000Z,SHORT,RUNNER,RUNNER_STOP,21000.0000,53760.7318,2.56003485,28.066500,71.851218,1268.851831,1340.703049,0
2026-02-12T17:45:00.000000000Z,2026-02-12T18:30:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,59318.9576,2.82471227,-6.930000,-19.575256,1340.703049,1321.127793,0
2026-02-12T18:30:00.000000000Z,2026-02-13T06:28:00.000000000Z,LONG,EXIT,SL,21000.0000,58425.6462,2.78217363,-60.270000,-167.681604,1321.127793,1153.446188,0
2026-02-13T07:45:00.000000000Z,2026-02-13T10:00:00.000000000Z,LONG,EXIT,FLIP,21000.0000,51210.9133,2.43861492,13.020000,31.750766,1153.446188,1185.196955,0
2026-02-13T10:00:00.000000000Z,2026-02-13T11:52:00.000000000Z,SHORT,TP1,TP1,21000.0000,52574.4266,2.50354412,18.238500,45.660890,1185.196955,1230.857844,0
