entry_ts,exit_ts,side,units_opened,units_closed,entry_price,exit_price,leg,reason,pnl_pips,pnl_pips_weighted,pnl_usd,mae_pips,equity,hold_bars,comp_units_opened,comp_units_closed,comp_pnl_usd,comp_balance
2026-02-04T01:00:00.000000000Z,2026-02-04T02:15:00.000000000Z,LONG,8000.00,8000.00,0.70259,0.70222,EXIT,FLIP,-3.70,-3.70,-2.9600,-4.85,63.7200,5,0,13877,-5.134490,336.967705
2026-02-04T02:15:00.000000000Z,2026-02-04T02:15:00.000000000Z,SHORT,8000.00,0.00,0.70222,0.70222,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,63.7200,0,13676,0,0.000000,336.967705
2026-02-04T02:15:00.000000000Z,2026-02-04T04:00:00.000000000Z,SHORT,8000.00,8000.00,0.70222,0.70240,EXIT,FLIP,-1.90,-1.90,-1.5200,-3.25,62.2000,7,0,13676,-2.598440,334.369265
2026-02-04T04:00:00.000000000Z,2026-02-04T04:00:00.000000000Z,LONG,8000.00,0.00,0.70240,0.70240,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,62.2000,0,13567,0,0.000000,334.369265
2026-02-04T04:00:00.000000000Z,2026-02-04T07:15:00.000000000Z,LONG,8000.00,8000.00,0.70240,0.70280,EXIT,FLIP,3.90,3.90,3.1200,-4.85,65.3200,13,0,13567,5.291130,339.660395
2026-02-04T07:15:00.000000000Z,2026-02-04T07:15:00.000000000Z,SHORT,8000.00,0.00,0.70280,0.70280,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,65.3200,0,13773,0,0.000000,339.660395
2026-02-04T07:15:00.000000000Z,2026-02-04T11:45:00.000000000Z,SHORT,8000.00,8000.00,0.70280,0.70218,EXIT,FLIP,6.10,6.10,4.8800,-15.15,70.2000,18,0,13773,8.401530,348.061925
2026-02-04T11:45:00.000000000Z,2026-02-04T11:45:00.000000000Z,LONG,8000.00,0.00,0.70218,0.70218,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,70.2000,0,14127,0,0.000000,348.061925
2026-02-04T11:45:00.000000000Z,2026-02-04T14:30:00.000000000Z,LONG,8000.00,8000.00,0.70218,0.70210,EXIT,FLIP,-0.90,-0.90,-0.7200,-5.25,69.4800,11,0,14127,-1.271430,346.790495
2026-02-04T14:30:00.000000000Z,2026-02-04T14:30:00.000000000Z,SHORT,8000.00,0.00,0.70210,0.70210,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,69.4800,0,14077,0,0.000000,346.790495
2026-02-04T14:30:00.000000000Z,2026-02-04T15:34:00.000000000Z,SHORT,8000.00,2400.00,0.70210,0.70016,TP1,TP1,19.35,5.81,4.6440,-4.65,74.1240,3,0,4223,8.171505,354.962000
2026-02-04T14:30:00.000000000Z,2026-02-04T15:34:00.000000000Z,SHORT,8000.00,5600.00,0.70210,0.70016,RUNNER,RUNNER_STOP,19.35,13.55,10.8360,-4.65,84.9600,3,0,9854,19.067490,374.029490
2026-02-04T17:00:00.000000000Z,2026-02-04T17:00:00.000000000Z,LONG,8000.00,0.00,0.70022,0.70022,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,84.9600,0,15223,0,0.000000,374.029490
2026-02-04T17:00:00.000000000Z,2026-02-04T17:40:00.000000000Z,LONG,8000.00,8000.00,0.70022,0.69736,EXIT,SL,-28.65,-28.65,-22.9200,-29.85,62.0400,1,0,15223,-43.613895,330.415595
2026-02-05T01:15:00.000000000Z,2026-02-05T01:15:00.000000000Z,SHORT,8000.00,0.00,0.69973,0.69973,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,62.0400,0,13457,0,0.000000,330.415595
2026-02-05T01:15:00.000000000Z,2026-02-05T02:14:00.000000000Z,SHORT,8000.00,2400.00,0.69973,0.69780,TP1,TP1,19.35,5.81,4.6440,-5.25,66.6840,2,0,4037,7.811595,338.227190
2026-02-05T01:15:00.000000000Z,2026-02-05T02:14:00.000000000Z,SHORT,8000.00,5600.00,0.69973,0.69780,RUNNER,RUNNER_STOP,19.35,13.55,10.8360,-5.25,77.5200,2,0,9420,18.227700,356.454890
2026-02-05T07:30:00.000000000Z,2026-02-05T07:30:00.000000000Z,SHORT,8000.00,0.00,0.69744,0.69744,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,77.5200,0,14566,0,0.000000,356.454890
2026-02-05T07:30:00.000000000Z,2026-02-05T14:30:00.000000000Z,SHORT,8000.00,8000.00,0.69744,0.69786,EXIT,FLIP,-4.20,-4.20,-3.3600,-16.35,74.1600,28,0,14566,-6.117720,350.337170
2026-02-05T14:30:00.000000000Z,2026-02-05T14:30:00.000000000Z,LONG,8000.00,0.00,0.69786,0.69786,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,74.1600,0,14307,0,0.000000,350.337170
2026-02-05T14:30:00.000000000Z,2026-02-05T15:26:00.000000000Z,LONG,8000.00,8000.00,0.69786,0.69500,EXIT,SL,-28.65,-28.65,-22.9200,-29.65,51.2400,2,0,14307,-40.989555,309.347615
2026-02-05T16:15:00.000000000Z,2026-02-05T16:15:00.000000000Z,LONG,8000.00,0.00,0.69671,0.69671,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,51.2400,0,12654,0,0.000000,309.347615
2026-02-05T16:15:00.000000000Z,2026-02-05T21:07:00.000000000Z,LONG,8000.00,8000.00,0.69671,0.69384,EXIT,SL,-28.65,-28.65,-22.9200,-27.85,28.3200,18,0,12654,-36.253710,273.093905
2026-02-06T00:30:00.000000000Z,2026-02-06T00:30:00.000000000Z,LONG,8000.00,0.00,0.69201,0.69201,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,28.3200,0,11247,0,0.000000,273.093905
2026-02-06T00:30:00.000000000Z,2026-02-06T02:01:00.000000000Z,LONG,8000.00,2400.00,0.69201,0.69395,TP1,TP1,19.35,5.81,4.6440,-9.45,32.9640,5,0,3374,6.528690,279.622595
2026-02-06T00:30:00.000000000Z,2026-02-06T02:01:00.000000000Z,LONG,8000.00,5600.00,0.69201,0.69395,RUNNER,RUNNER_STOP,19.35,13.55,10.8360,-9.45,43.8000,5,0,7873,15.234255,294.856850
2026-02-06T02:45:00.000000000Z,2026-02-06T02:45:00.000000000Z,SHORT,8000.00,0.00,0.69371,0.69371,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,43.8000,0,12113,0,0.000000,294.856850
2026-02-06T02:45:00.000000000Z,2026-02-06T08:20:00.000000000Z,SHORT,8000.00,8000.00,0.69371,0.69658,EXIT,SL,-28.65,-28.65,-22.9200,-28.65,20.8800,21,0,12113,-34.703745,260.153105
2026-02-06T12:15:00.000000000Z,2026-02-06T12:15:00.000000000Z,LONG,8000.00,0.00,0.69840,0.69840,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,20.8800,0,10616,0,0.000000,260.153105
