status,direction,move,hour,dow,ret8,ret4,atr8,atr12,rng8,comp,body_to_range,breakout_up,breakout_dn,prior_disagree
aligned,long,50.1,14,4,1.60000000000049,5.40000000000096,8.237499999999704,6.974999999999805,15.899999999999803,1.9301972685888162,0.4977238239757479,False,False,False
opposed_only,long,30.0,17,4,-6.699999999999484,-2.1999999999999797,14.287500000000064,15.466666666666775,25.49999999999941,1.78477690288709,0.40594925634295337,False,True,True
opposed_only,long,30.9,22,6,2.80000000000058,1.9000000000002348,4.712500000000064,4.650000000000117,12.600000000000389,2.673740053050444,0.4694960212201658,False,False,False
aligned,long,36.9,14,1,-8.599999999999719,-8.799999999999919,5.575000000000024,5.041666666666666,16.800000000000146,3.0134529147982194,0.5291479820627843,False,True,True
aligned,long,33.1,17,3,-21.49999999999985,-13.199999999999878,7.825000000000054,11.183333333333415,22.600000000000396,2.8881789137380496,0.6932907348242603,False,True,True
opposed_only,long,38.0,13,4,0.9999999999998899,0.0,5.775000000000086,5.375000000000056,13.199999999999878,2.285714285714231,0.39826839826840615,False,True,False
flat,long,53.2,23,6,-49.59999999999964,13.400000000000079,12.712499999999737,9.841666666666564,73.79999999999941,5.805309734513348,0.4729596853490738,False,False,True
aligned,long,51.0,8,0,-15.600000000000058,-3.9999999999995595,9.962499999999764,8.858333333333357,28.89999999999948,2.9008782936010205,0.3161856963613305,False,True,True
aligned,long,30.6,14,0,-9.399999999999409,-7.700000000000484,10.500000000000231,9.583333333333389,25.500000000000522,2.428571428571425,0.5547619047618922,False,False,True
aligned,long,32.9,17,0,6.099999999999994,7.599999999999829,10.82500000000014,12.491666666666715,26.599999999999955,2.4572748267898024,0.5889145496535585,False,False,False
aligned,long,32.2,11,1,-30.200000000000227,-15.999999999999348,12.712500000000015,12.383333333333505,47.399999999999665,3.7286135693215035,0.4621435594887063,False,True,True
aligned,long,75.6,15,1,-44.79999999999928,-29.29999999999988,14.062500000000256,14.266666666666872,58.59999999999976,4.167111111111018,0.5359999999999786,False,True,True
opposed_only,long,53.3,8,2,5.1000000000001044,-4.999999999999449,10.699999999999877,10.799999999999976,27.7000000000005,2.5887850467290487,0.4859813084112137,False,False,False
aligned,long,30.8,15,2,-12.199999999999989,-0.40000000000040004,12.825000000000335,14.03333333333349,28.1000000000009,2.1910331384015724,0.34697855750484335,False,False,True
aligned,long,58.8,8,3,-17.400000000000748,-26.500000000000412,11.474999999999957,10.441666666666608,33.90000000000004,2.9542483660130867,0.5435729847494628,False,True,True
aligned,long,33.0,19,3,-2.00000000000089,-5.800000000000249,9.787500000000282,10.26666666666685,19.200000000000326,1.961685823754766,0.5172413793103154,False,False,True
flat,long,41.4,14,4,-16.1,-23.999999999999577,15.612499999999724,14.308333333333255,50.60000000000064,3.2409927942354866,0.49879903923139945,False,False,True
flat,long,37.0,3,0,17.300000000000093,-0.2999999999997449,12.575000000000225,12.158333333333418,37.800000000000054,3.00596421471168,0.4622266401590307,False,False,False
aligned,long,51.4,8,0,-11.100000000000554,-12.199999999999989,10.637500000000161,12.525000000000082,21.200000000000106,1.9929494712103206,0.5017626321974068,False,True,True
opposed_only,long,32.8,12,0,-2.60000000000038,-0.49999999999994493,9.449999999999875,9.541666666666542,18.399999999999526,1.9470899470899228,0.36507936507938255,False,False,True
opposed_only,long,44.5,17,0,-8.699999999999264,-15.100000000000113,7.799999999999891,8.591666666666423,23.200000000000998,2.974358974359144,0.522435897435929,False,True,True
flat,long,56.0,5,1,6.700000000000594,1.60000000000049,5.22500000000009,6.058333333333425,11.900000000000244,2.2775119617224955,0.3229665071769923,False,False,False
flat,long,40.2,14,1,2.60000000000038,-2.1999999999999797,10.649999999999826,10.43333333333322,22.100000000000453,2.075117370892095,0.39553990610330403,False,False,False
flat,long,44.8,0,2,17.000000000000348,13.500000000000734,6.262499999999949,4.991666666666524,24.199999999999775,3.8642714570858243,0.5209580838323177,False,False,False
flat,short,32.3,22,6,-2.2999999999995246,-1.2999999999996348,5.6500000000001,6.899999999999961,12.399999999999078,2.194690265486524,0.508849557522108,False,True,False
flat,short,32.6,2,0,-8.20000000000043,-4.3999999999999595,11.550000000000171,12.966666666666681,29.400000000000535,2.545454545454554,0.5573593073592978,False,False,False
aligned,short,41.7,7,1,16.29999999999909,4.799999999999249,8.37500000000005,9.64166666666664,22.299999999999542,2.6626865671641085,0.36417910447762597,True,False,True
flat,short,33.6,13,1,6.000000000000449,6.800000000000139,7.125000000000048,6.641666666666694,16.800000000000146,2.35789473684211,0.5473684210526494,True,False,True
aligned,short,43.2,14,2,-2.9999999999996696,-2.3999999999990695,8.162500000000183,7.366666666666817,17.200000000000546,2.107197549770311,0.5114854517610756,False,False,False
aligned,short,47.8,0,3,3.6000000000002697,5.199999999999649,3.6750000000004834,3.500000000000355,10.600000000000609,2.884353741496385,0.5510204081632529,True,False,True
opposed_only,short,37.8,14,3,1.9999999999997797,-4.300000000000415,9.637499999999994,9.475000000000085,18.399999999999526,1.9092088197146082,0.42671854734111764,False,False,True
opposed_only,short,36.6,20,3,-8.499999999999064,-8.199999999999319,6.66250000000021,7.900000000000129,18.000000000000238,2.7016885553470424,0.4896810506566243,False,False,False
flat,short,32.2,22,3,-20.500000000001073,-0.8000000000008001,6.600000000000078,6.783333333333456,30.399999999999316,4.606060606060448,0.6306818181818002,False,False,False
aligned,short,30.6,9,0,7.199999999999429,12.099999999999334,7.099999999999607,6.858333333333207,15.600000000000058,2.197183098591679,0.5070422535211341,True,False,True
aligned,short,42.5,11,2,6.000000000000449,-0.9999999999998899,5.2500000000001155,5.641666666666619,15.000000000000568,2.8571428571429025,0.5499999999999696,False,False,True
